NAME,DEPDOM,FED_RSSD,FEDCHRTR
The Bank of St. Albans,,6534,0
The Pleasants County Bank,"55,447",8631,0
Traders Bank,,13037,0
SouthTrust Bank,,817833,0
Peoples Southern Bank,"129,698",601733,0
Barbour County Bank,,356930,0
First National Bank of Shelby County,,357432,1
The Parker Bank and Trust Company,,543730,0
First Alabama Bank of Dothan,,288732,0
"Merchants & Farmers Bank of Greene County, Alabama","50,810",376237,0
Watkins Banking Company,,500331,0
Southtrust Bank of Marion County,,324238,0
"SouthTrust Bank of Selma, National Association",,480237,1
The Peoples Bank & Trust Company,,237936,0
State Bank & Trust,"177,192",386731,0
Bank of York,"67,619",359838,0
Citizens Bank of Marianna,,685630,0
Bank of Adairsville,,425135,0
SunTrust Bank,"131,670,970",675332,0
First Union Bank of Augusta,,818531,0
The Citizens Bank and Trust Company,,264334,0
Barnett Bank of Southeast Georgia National Association,,19534,1
Bank of Canton,,131333,0
State Bank of Cochran,"178,509",333034,0
Synovus Bank,"21,188,586",395238,0
Community Bank & Trust - Jackson,,298030,0
Bank of Dawson,"99,535",193537,0
Bank of Eastman,"173,497",204237,0
The Brand Banking Company,"1,472,974",701736,0
Farmers State Bank,"99,397",773032,0
The Bank of Millen,,697437,0
First American Bank of Walton,,696935,0
Farmers Bank of Pelham,,635233,0
The Citizens State Bank of Taylor County,"35,883",960533,0
Savannah Bank & Trust Company of Savannah,,416834,0
The Bank of Soperton,"30,908",260831,0
The Central Bank,,431435,0
The C & S Bank of Tifton,,159739,0
Alerion Bank,,188337,0
Citizens Bank,"432,235",126834,0
"SunTrust Bank, Chattanooga, National Association",,679433,1
GreenBank,,488439,0
CommunityFIRST Bank,,500434,0
Truckers Exchange Bank,,455637,0
The Bank of Forest,"118,306",642437,0
The Gerber State Bank,"75,783",663638,0
The Belvidere National Bank and Trust Company,,374934,1
Commerce Bank,,393739,0
Byron Bank,"202,112",325534,0
Amalgamated Bank of Chicago,"693,855",397531,0
Drexel National Bank,,411633,1
Harris Trust and Savings Bank,,75633,0
Lake Shore National Bank,,709237,1
LaSalle Bank NI,,710532,0
Mercantile National Bank of Chicago,,655138,1
Merchandise National Bank of Chicago,,119537,1
Metropolitan Bank and Trust Company,,718930,0
