NAME,DEPDOM,FED_RSSD,FEDCHRTR
First National Bank of the Rockies,"287,172",338758,1
First Colorado National Bank,"35,757",587752,1
First Pioneer National Bank,"138,148",357553,1
"First Financial Bank, National Association","4,055,153",470050,1
The First National Bank of Albany,"417,047",340751,1
The First National Bank of Amherst,"13,720",359856,1
The First National Bank of Anderson,"140,146",362155,1
Independent Bank,"1,570,698",122854,0
The First National Bank of Anson,"49,969",366359,1
The First National Bank of Aspermont,"55,083",138257,1
"First Bank Texas, SSB","338,404",75558,0
The First National Bank of Ballinger,"122,388",160454,1
VINTAGE BANK,"145,219",202251,0
The First National Bank of Bastrop,"345,564",18050,1
The First National Bank of Beeville,"279,414",28255,1
"Cendera Bank, National Association","46,002",89957,1
The First National Bank of Bellville,"427,448",91754,1
The State National Bank of Big Spring,"284,337",169354,1
The Blanco National Bank,"136,337",219259,1
"Legend Bank, N.A.","495,737",100357,1
The Brady National Bank,"87,482",101952,1
The Commercial National Bank of Brady,"115,993",42354,1
The Brenham National Bank,"238,843",227357,1
Lone Star State  Bank of West Texas,"455,585",3607062,0
First Bank,"241,107",239659,0
The First National Bank of Byers,"88,347",57255,1
"Classic Bank, National Association","242,113",182951,1
Citizens National Bank,"338,188",59352,1
The First Bank of Celeste,"38,138",871956,0
First Bank and Trust of Childress,"71,258",749952,0
The First National Bank of Chillicothe,"40,205",880556,1
Citizens Bank,"111,555",885252,0
The City National Bank of Colorado City,"117,695",799854,1
The Comanche National Bank,"252,588",949556,1
The First National Bank in Cooper,"41,905",767152,1
Citizens National Bank of Crosbyton,"37,146",901451,1
Texas Heritage National Bank,"85,932",824653,1
First Bank & Trust Company,"35,857",552657,0
Farmers and Merchants Bank,"52,570",555256,0
The Dublin National Bank,"23,423",583754,1
The First National Bank of Eagle Lake,"98,711",651952,1
The First National Bank of Edgewood,"17,781",594451,1
NewFirst National Bank,"460,309",938859,1
The First National Bank of Eldorado,"56,387",665258,1
The First National Bank of Emory,"84,478",371858,1
The First National Bank of Evant,"59,642",379153,1
First National Bank,"271,654",378651,1
The Falls City National Bank,"259,536",441050,1
Fayetteville Bank,"317,784",450753,0
The First National Bank of Floydada,"83,157",393252,1
"Texas Gulf Bank, National Association","435,462",514655,1
The Moody National Bank,"783,720",253356,1
National Bank,"485,836",322056,1
First National Bank of Giddings,"143,137",324153,1
The First National Bank of Gilmer,"228,687",445955,1
"Gilmer National Bank, Gilmer, Texas","183,102",323651,1
"Titan Bank, N.A.","55,972",328357,1
Ciera Bank,"227,598",327855,0
The First National Bank of Granbury,"422,444",329952,1
Grandview Bank,"122,811",333856,0
The Granger National Bank,"26,435",272151,1
The State National Bank of Groom,"36,225",460556,1
Hamlin National Bank,"79,658",464750,1
The First National Bank of Hebbronville,"117,345",173959,1
Citizens National Bank,"1,071,892",56351,1
The Citizens National Bank of Hillsboro,"134,080",184656,1
"Horizon Bank, SSB","340,567",703552,0
Patriot Bank,"1,053,634",78858,0
The First National Bank of Hughes Springs,"175,170",849357,1
First National Bank of Huntsville,"361,757",583352,1
State National Bank of Texas,"197,639",588058,1
The Jacksboro National Bank,"196,350",924058,1
"Austin Bank, Texas National Association","1,232,777",548351,1
The Karnes County National Bank of Karnes City,"267,737",979759,1
The First National Bank of Kemp,"47,711",608451,1
First National Bank Texas,"1,006,956",613950,1
Kleberg First National Bank of Kingsville,"388,051",556459,1
National Bank & Trust,"194,756",792659,1
The Lamesa National Bank,"257,933",623052,1
